year,quarter,cusip_no,has_listed_options,issuer_name,issuer_description,status,cusip_6,cusip_2,cusip_1,cusip_8,cusip_9
2015,2,464288 46 3,,ISHARES,ASIA DEV RE ETF,,464288,46,3,46428846,464288463
2015,2,03076C 90 6,,AMERIPRISE FINL INC,CALL,,03076C,90,6,03076C90,03076C906
2015,2,154760 40 9,*,CENTRAL PAC FINL CORP,COM NEW,,154760,40,9,15476040,154760409
2015,2,985817 95 5,,YELP INC,PUT,,985817,95,5,98581795,985817955
2015,2,33733J 90 3,,FIRST TR ISE GLOBL COPPR IND,CALL,,33733J,90,3,33733J90,33733J903
2015,2,86183Q 95 0,,STONEMOR PARTNERS L P,PUT,,86183Q,95,0,86183Q95,86183Q950
2015,2,929236 90 7,,WD-40 CO,CALL,,929236,90,7,92923690,929236907
2015,2,032515 95 8,,ANADIGICS INC,PUT,,032515,95,8,03251595,032515958
2015,2,92242Y 10 0,*,VEDANTA LTD,SPONSORED ADR,ADDED,92242Y,10,0,92242Y10,92242Y100
2015,2,14159U 95 1,,CARDIOME PHARMA CORP,PUT,,14159U,95,1,14159U95,14159U951
2015,2,882904 10 5,,THAI FD INC,COM,,882904,10,5,88290410,882904105
2015,2,Q73622 10 4,,PARNELL PHARMACEUT HLDGS LTD,SHS,,Q73622,10,4,Q7362210,Q73622104
2015,2,04351P 10 1,,ASCENDIS PHARMA A S,SPONSORED ADR,,04351P,10,1,04351P10,04351P101
2015,2,380956 40 9,*,GOLDCORP INC NEW,COM,,380956,40,9,38095640,380956409
2015,2,64111Q 95 4,,NETGEAR INC,PUT,,64111Q,95,4,64111Q95,64111Q954
2015,2,15911M 95 7,,CHANGYOU COM LTD,PUT,,15911M,95,7,15911M95,15911M957
2015,2,045487 90 5,,ASSOCIATED BANC CORP,CALL,,045487,90,5,04548790,045487905
2015,2,698354 95 7,,PANDORA MEDIA INC,PUT,,698354,95,7,69835495,698354957
2015,2,12811V 10 5,,CALAMOS DYNAMIC CONV & INCOM,COM,,12811V,10,5,12811V10,12811V105
2015,2,147154 90 7,,CASCADE BANCORP,CALL,,147154,90,7,14715490,147154907
2015,2,675746 30 9,*,OCWEN FINL CORP,COM NEW,,675746,30,9,67574630,675746309
2015,2,M9068E 95 5,,SODASTREAM INTERNATIONAL LTD,PUT,,M9068E,95,5,M9068E95,M9068E955
2015,2,101388 90 6,,BOTTOMLINE TECH DEL INC,CALL,,101388,90,6,10138890,101388906
2015,2,28849P 10 0,*,ELLIE MAE INC,COM,,28849P,10,0,28849P10,28849P100
2015,2,73935X 90 3,,POWERSHARES ETF TRUST,CALL,,73935X,90,3,73935X90,73935X903
2015,2,867328 90 1,,SUNESIS PHARMACEUTICALS INC,CALL,,867328,90,1,86732890,867328901
2015,2,950810 10 1,*,WESBANCO INC,COM,,950810,10,1,95081010,950810101
2015,2,717071 10 4,,PFENEX INC,COM,,717071,10,4,71707110,717071104
2015,2,81721M 10 9,*,SENIOR HSG PPTYS TR,SH BEN INT,,81721M,10,9,81721M10,81721M109
2015,2,94419L 10 1,*,WAYFAIR INC,CL A,,94419L,10,1,94419L10,94419L101
2015,2,53224V 95 0,,LIFELOCK INC,PUT,,53224V,95,0,53224V95,53224V950
2015,2,80007V 90 6,,SANDRIDGE MISSISSIPPIAN TR I,CALL,,80007V,90,6,80007V90,80007V906
2015,2,894648 95 4,,TRECORA RES,PUT,,894648,95,4,89464895,894648954
2015,2,38119T 95 4,,GOLDEN STAR RES LTD CDA,PUT,,38119T,95,4,38119T95,38119T954
2015,2,159179 95 0,,CHANNELADVISOR CORP,PUT,,159179,95,0,15917995,159179950
2015,2,464287 12 7,,ISHARES TR,MRNGSTR LG-CP ET,,464287,12,7,46428712,464287127
2015,2,25389M 87 7,*,DIGITALGLOBE INC,COM NEW,,25389M,87,7,25389M87,25389M877
2015,2,50186A 11 6,,LGL GROUP INC,*W EXP 08/06/201,,50186A,11,6,50186A11,50186A116
2015,2,903293 95 5,,U S G CORP,PUT,,903293,95,5,90329395,903293955
2015,2,Y7388L 95 3,,SAFE BULKERS INC,PUT,,Y7388L,95,3,Y7388L95,Y7388L953
2015,2,966388 10 0,*,WHITING USA TR II,TR UNIT,,966388,10,0,96638810,966388100
2015,2,65473P 11 3,,NISOURCE INC,EX DISTRIB WI,ADDED,65473P,11,3,65473P11,65473P113
2015,2,465893 10 5,,IVY HIGH INC OPPORTUNITIES F,COM,,465893,10,5,46589310,465893105
2015,2,461202 95 3,,INTUIT,PUT,,461202,95,3,46120295,461202953
2015,2,880770 90 2,,TERADYNE INC,CALL,,880770,90,2,88077090,880770902
2015,2,97717X 95 2,,WISDOMTREE TR,PUT,,97717X,95,2,97717X95,97717X952
2015,2,758204 20 0,,REED ELSEVIER N V,SPONS ADR NEW,,758204,20,0,75820420,758204200
2015,2,87611R 95 6,,TARGACEPT INC,PUT,,87611R,95,6,87611R95,87611R956
2015,2,163086 95 1,,CHEFS WHSE INC,PUT,,163086,95,1,16308695,163086951
2015,2,302130 90 9,,EXPEDITORS INTL WASH INC,CALL,,302130,90,9,30213090,302130909
2015,2,045396 90 8,,ASSEMBLY BIOSCIENCES INC,CALL,,045396,90,8,04539690,045396908
2015,2,512816 95 9,,LAMAR ADVERTISING CO NEW,PUT,,512816,95,9,51281695,512816959
2015,2,G4863A 95 8,,INTERNATIONAL GAME TECHNOLOG,PUT,ADDED,G4863A,95,8,G4863A95,G4863A958
2015,2,34958B 10 6,*,FORTRESS INVESTMENT GROUP LL,CL A,,34958B,10,6,34958B10,34958B106
2015,2,538034 95 9,,LIVE NATION ENTERTAINMENT IN,PUT,,538034,95,9,53803495,538034959
2015,2,516548 20 3,,LANTRONIX INC,COM NEW,,516548,20,3,51654820,516548203
2015,2,254423 90 6,,DINEEQUITY INC,CALL,,254423,90,6,25442390,254423906
2015,2,45773H 20 1,*,INOVIO PHARMACEUTICALS INC,COM NEW,,45773H,20,1,45773H20,45773H201
2015,2,25820R 90 5,,DORCHESTER MINERALS LP,CALL,,25820R,90,5,25820R90,25820R905
2015,2,12531Q 90 5,,CGG,CALL,,12531Q,90,5,12531Q90,12531Q905
2015,2,G0750W 95 4,,AXOVANT SCIENCES LTD,PUT,ADDED,G0750W,95,4,G0750W95,G0750W954
2015,2,00162Q 90 6,,ALPS ETF TR,CALL,,00162Q,90,6,00162Q90,00162Q906
2015,2,67067Y 10 4,,NUVEEN SR INCOME FD,COM,,67067Y,10,4,67067Y10,67067Y104
2015,2,00768Y 95 3,,ADVISORSHARES TR,PUT,,00768Y,95,3,00768Y95,00768Y953
2015,2,059695 10 6,,BANCROFT FUND LTD,COM,,059695,10,6,05969510,059695106
2015,2,090931 10 6,,BIOSPECIFICS TECHNOLOGIES CO,COM,,090931,10,6,09093110,090931106
2015,2,053774 10 5,*,AVIS BUDGET GROUP,COM,,053774,10,5,05377410,053774105
2015,2,448947 50 7,*,IDT CORP,CL B NEW,,448947,50,7,44894750,448947507
2015,2,87236Y 10 8,*,TD AMERITRADE HLDG CORP,COM,,87236Y,10,8,87236Y10,87236Y108
2015,2,50105F 95 5,,KRONOS WORLDWIDE INC,PUT,,50105F,95,5,50105F95,50105F955
2015,2,73278L 95 5,,POOL CORPORATION,PUT,,73278L,95,5,73278L95,73278L955
2015,2,904784 90 9,,UNILEVER N V,CALL,,904784,90,9,90478490,904784909
2015,2,222660 10 2,*,COURIER CORP,COM,DELETED,222660,10,2,22266010,222660102
2015,2,464287 90 5,,ISHARES TR,CALL,,464287,90,5,46428790,464287905
2015,2,73937B 51 4,,POWERSHARES ETF TR II,EURO CUR HDG,ADDED,73937B,51,4,73937B51,73937B514
2015,2,706327 10 3,*,PEMBINA PIPELINE CORP,COM,,706327,10,3,70632710,706327103
2015,2,92931L 30 2,,WPCS INTL INC,COM PAR $.0001,DELETED,92931L,30,2,92931L30,92931L302
2015,2,53071M 87 2,,LIBERTY INTERACTIVE CORP,LBT VENT COM B,,53071M,87,2,53071M87,53071M872
2015,2,76117W 10 9,*,RESOLUTE FST PRODS INC,COM,,76117W,10,9,76117W10,76117W109
2015,2,16936Y 95 9,,CHINA BAK BATTERY INC,PUT,,16936Y,95,9,16936Y95,16936Y959
2015,2,23131C 10 7,,CURRENCYSHARES CHINESE RENMI,CHIN RENMINBI,,23131C,10,7,23131C10,23131C107
2015,2,42210P AR 3,,HEADWATERS INC,NOTE  8.750% 2/0,,42210P,AR,3,42210PAR,42210PAR3
2015,2,757468 10 3,,REDHILL BIOPHARMA LTD,SPONSORED ADS,,757468,10,3,75746810,757468103
