year,quarter,cusip_no,has_listed_options,issuer_name,issuer_description,status,cusip_6,cusip_2,cusip_1,cusip_8,cusip_9
2018,3,88146M 10 1,*,TERRENO RLTY CORP,COM,,88146M,10,1,88146M10,88146M101
2018,3,35473P 73 6,,FRANKLIN TEMPLETON ETF TR,FTSE MEXICO,,35473P,73,6,35473P73,35473P736
2018,3,349853 95 1,,FORWARD AIR CORP,PUT,,349853,95,1,34985395,349853951
2018,3,698813 90 2,,PAPA JOHNS INTL INC,CALL,,698813,90,2,69881390,698813902
2018,3,69357C 50 3,*,PRGX GLOBAL INC,COM NEW,,69357C,50,3,69357C50,69357C503
2018,3,26189A 10 5,,DREYFUS ALCENTRA GBL CR INCO,COM,,26189A,10,5,26189A10,26189A105
2018,3,44106M 95 2,,HOSPITALITY PPTYS TR,PUT,,44106M,95,2,44106M95,44106M952
2018,3,05360L 20 5,,AVENUE THERAPEUTICS INC,COM NEW,,05360L,20,5,05360L20,05360L205
2018,3,984332 AF 3,,YAHOO INC,NOTE        12/0,,984332,AF,3,984332AF,984332AF3
2018,3,001744 90 1,,AMN HEALTHCARE SERVICES INC,CALL,,001744,90,1,00174490,001744901
2018,3,269246 95 1,,E TRADE FINANCIAL CORP,PUT,,269246,95,1,26924695,269246951
2018,3,902681 10 5,*,UGI CORP NEW,COM,,902681,10,5,90268110,902681105
2018,3,91288V 10 3,*,UNITED STS 12 MONTH OIL FD L,UNIT BEN INT,,91288V,10,3,91288V10,91288V103
2018,3,858912 95 8,,STERICYCLE INC,PUT,,858912,95,8,85891295,858912958
2018,3,23283R 90 0,,CYRUSONE INC,CALL,,23283R,90,0,23283R90,23283R900
2018,3,90400P 90 1,,ULTRAPAR PARTICIPACOES S A,CALL,,90400P,90,1,90400P90,90400P901
2018,3,513847 10 3,*,LANCASTER COLONY CORP,COM,,513847,10,3,51384710,513847103
2018,3,46435G 56 5,ISHARES TR,MLTFCT HLTCARE,DELETED,,46435G,56,5,46435G56,46435G565
2018,3,P8696W 10 4,*,SINOVAC BIOTECH LTD,SHS,,P8696W,10,4,P8696W10,P8696W104
2018,3,74347B 90 9,,PROSHARES TR,CALL,,74347B,90,9,74347B90,74347B909
2018,3,46435U 90 3,,ISHARES TR,CALL,,46435U,90,3,46435U90,46435U903
2018,3,502175 10 2,*,LTC PPTYS INC,COM,,502175,10,2,50217510,502175102
2018,3,469814 90 7,,JACOBS ENGR GROUP INC DEL,CALL,,469814,90,7,46981490,469814907
2018,3,45409B 90 4,,INDEXIQ ETF TR,CALL,,45409B,90,4,45409B90,45409B904
2018,3,483119 95 3,,KALA PHARMACEUTICALS INC,PUT,,483119,95,3,48311995,483119953
2018,3,02209S 95 3,,ALTRIA GROUP INC,PUT,,02209S,95,3,02209S95,02209S953
2018,3,449172 90 5,,HYSTER YALE MATLS HANDLING I,CALL,,449172,90,5,44917290,449172905
2018,3,05965X 10 9,*,BANCO SANTANDER CHILE NEW,SP ADR REP COM,,05965X,10,9,05965X10,05965X109
2018,3,75970E 95 7,,RENASANT CORP,PUT,,75970E,95,7,75970E95,75970E957
2018,3,747798 90 6,,QUDIAN INC,CALL,,747798,90,6,74779890,747798906
